	LON	LAT	Globigerinella_siphonifera	Globigerinoides_sacculifer	Globigerinoides_ruber	Globigerina_bulloides	Turborotalita_quinqueloba	Globigerinella_calida	Orbulina_universa	Pulleniatina_obliquiloculata	Neogloboquadrina_pachyderma	Globorotalia_inflata	Neogloboquadrina_incompta	Globigerinita_uvula	Globorotalia_truncatulinoides	Globorotalia_scitula	Globorotalia_hirsuta
82	-31	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	-15	47	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
84	63	-56	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
85	-49	59	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
86	61	16	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
87	-52	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
88	133	33	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
89	162	-6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
90	41	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	-118	33	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
92	-120	34	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
93	-19	45	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
94	63	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	15	35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
96	-6	45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
97	72	-47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
98	66	-29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
99	-51	-52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100	-19	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
101	162	-3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
102	-69	11	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
103	-21	30	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
104	-8	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105	26	34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
106	40	-16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	-119	34	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
108	-19	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	-18	46	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
110	-17	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
111	58	-47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
112	68	-50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
113	-173	58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
114	52	-42	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
115	-48	54	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
116	13	-23	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
117	-113	-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
118	-118	-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
119	-21	29	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
120	-176	-42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
121	161	-16	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
122	-60	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
123	-64	12	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
124	80	-14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
125	63	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	65	15	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
127	34	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
