	country	ISO3.1	ADMIN.1	REGION	continent	GEO3major	GEO3	LON	LAT	country2	Stramenopiles	Alveolata	Rhizaria				
1	Antarctica	ATA	Antarctica	Antarctica	Antarctica	Polar	Antarctic	21.28439294	-80.5227822	Antarctica	20	6	23				
2	Arctic Ocean		Arctic	Arctic	Arctic	Polar	Arctic	0.5	80.5	Arctic Ocean	0	10	10				
3	Argentina	ARG	Argentina	South America	South America	Latin America and the Caribbean	South America	-65.14954339	-35.220172	Argentina	5	10	5				
4	Atlantic Ocean		Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	-42.16	25	Atlantic Ocean	4	3	26				
5	Australia	AUS	Australia	Australia	Australia	Asia and the Pacific	Australia and New Zealand	134.3760786	-25.56076406	Australia	14	14	9				
6	Austria	AUT	Austria	Europe	Eurasia	Europe	Western Europe	14.07615888	47.61394879	Austria	4.285714286	14.28571429	1.428571429				
7	Baltic Sea		Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	4.21	53.9	Baltic Sea	0	20	0				
8	Belgium	BEL	Belgium	Europe	Eurasia	Europe	Western Europe	4.580831591	50.65244261	Belgium	12.5	0	7.5				
9	Bermuda	BMU	Bermuda	South America	South America	Latin America and the Caribbean	Caribbean	-64.75454186	32.31368594	Bermuda	0	0	20				
10	Bolivia	BOL	Bolivia	South America	South America	Latin America and the Caribbean	South America	-64.64140561	-16.72898702	Bolivia	0	6.666666667	13.33333333				
11	Botswana	BWA	Botswana	Africa	Africa	Africa	Southern Africa	23.77308147	-22.09971138	Botswana	0	20	0				
12	Brazil	BRA	Brazil	South America	South America	Latin America and the Caribbean	South America	-53.05434004	-10.80677364	Brazil	6.25	13.75	0				
13	Bulgaria	BGR	Bulgaria	Europe	Eurasia	Europe	Central Europe	25.19511095	42.75311876	Bulgaria	0	0	20				
14	Canada	CAN	Canada	North America	North America	North America	Canada	-101.5698221	57.7487688	Canada	17	18	3				
15	Chile	CHL	Chile	South America	South America	Latin America and the Caribbean	South America	-71.67094512	-37.34183187	Chile	18.46153846	0	1.538461538				
16	China	CHN	China	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	103.8653653	36.60943238	China	14	257	3				
17	Colombia	COL	Colombia	South America	South America	Latin America and the Caribbean	South America	-73.07773209	3.927213863	Colombia	13.33333333	6.666666667	0				
18	Costa Rica	CRI	Costa Rica	South America	South America	Latin America and the Caribbean	Meso-America	-84.1754231	9.965671127	Costa Rica	0	0	20				
19	Croatia	HRV	Croatia	Europe	Eurasia	Europe	Central Europe	16.56619111	45.01623437	Croatia	0	0	20				
20	Cuba	CUB	Cuba	South America	South America	Latin America and the Caribbean	Caribbean	-78.96068491	21.63175154	Cuba	0	20	0				
21	Cyprus	CYP	Cyprus	Europe	Eurasia	Europe	Central Europe	33.0395538	34.90706085	Cyprus	0	20	0				
22	Czech Republic	CZE	Czech Republic	Europe	Eurasia	Europe	Central Europe	15.3345581	49.77524529	Czech Republic	16.66666667	3.333333333	0				
23	Denmark	DNK	Denmark	Europe	Eurasia	Europe	Western Europe	9.310777784	56.21962624	Denmark	7.272727273	7.272727273	5.454545455				
24	Dominican Republic	DOM	Dominican Republic	South America	South America	Latin America and the Caribbean	Caribbean	-70.46235846	18.88448709	Dominican Republic	0	10	10				
25	Ecuador	ECU	Ecuador	South America	South America	Latin America and the Caribbean	South America	-78.38416675	-1.454771706	Ecuador	0	20	0				
26	Egypt	EGY	Egypt	Africa	Africa	Africa	North Africa	29.84446151	26.50662	Egypt	15	5	0				
27	Faroe Islands	FRO	Faroe Islands	Europe	Eurasia	Europe	Western Europe	-6.884745852	62.17017783	Faroe Islands	0	0	20				
28	Fiji	FJI	Fiji	Australia	Australia	Asia and the Pacific	South Pacific	177.9970702	-17.83093589	Fiji	0	20	0				
29	Finland	FIN	Finland	Europe	Eurasia	Europe	Western Europe	26.2117647	64.50409392	Finland	14.28571429	5.714285714	0				
30	France	FRA	France	Europe	Eurasia	Europe	Western Europe	2.339088646	46.60646337	France	59	79	30				
31	Germany	DEU	Germany	Europe	Eurasia	Europe	Western Europe	10.28848509	51.13372269	Germany	107	28	24				
32	Ghana	GHA	Ghana	Africa	Africa	Africa	Western Africa	-1.236968556	7.928651813	Ghana	0	20	0				
33	Greece	GRC	Greece	Europe	Eurasia	Europe	Western Europe	22.5638882	39.34174658	Greece	20	0	0				
34	Greenland	GRL	Greenland	Europe	Eurasia	Europe	Polar	-41.50018111	74.77048769	Greenland	0	4	16				
35	Guam	GUM	Guam	Australia	Australia	Asia and the Pacific	South Pacific	144.7679224	13.4416655	Guam	13.33333333	0	6.666666667				
36	Guatemala	GTM	Guatemala	South America	South America	Latin America and the Caribbean	Meso-America	-90.36945836	15.69936061	Guatemala	0	20	0				
37	Hong Kong	HKG	Hong Kong S.A.R.	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	114.1391813	22.43918389	Hong Kong	0	20	0				
38	Hungary	HUN	Hungary	Europe	Eurasia	Europe	Central Europe	19.35762863	47.19995117	Hungary	20	0	0				
39	Iceland	ISL	Iceland	Europe	Eurasia	Europe	Western Europe	-18.76102877	65.07427634	Iceland	6.666666667	6.666666667	6.666666667				
