parasite?	host
pn	Cotylorhiza tuberculata
pn	cow
pa	cow; calf
pn	Crassostrea ariakensis
pn	Crassostrea ariakensis (Suminoe oyster)
pn	Crassostrea gigas
pn	Crassostrea gigas (Pacific oyster)
pn	Crassostrea virginica
pn	Crenicichla lepidota (pike cichlid)
pa	Cricetulus griseus
pn	Ctenopharyngodon idellus
pn	Cucumis melo
pn	Cucumis sativus
pn	Cucurbita maxima
pn	Cucurbita moschata
pn	Cucurbita pepo
pn	Cuora mouhotii
pn	Cyclamen sp.
pn	Cycloclypeus carpenteri
pn	Cyclura cornuta (rhino iguana)
pa	Cynomys ludovicianus (Black-tailed prairie dog)
pa	Cynopterus brachyotis
pn	Cyprinus carpio
pa	Cyprinus carpio (Koi carp)
pn	Cyrenoida floridana (marsh clam)
pa	Cystophora cristata
pn	Dama dama
pn	Daphnia dentifera
pn	Daphnia longispina complex
pn	Daphnia retrocurva
pa	deer
pa	deer mouse
pn	Delisea japonica
pn	Delphinapterus leucas (beluga whale)
pn	Dendrocygna autumnalis (black-bellied whistling duck)
pn	Dentex dentex (common dentex)
pn	Dermestes maculatus
pn	Dermolepida albohirtum (greyback canegrub)
pa	desert monitor
pn	Diabrotica undecimpunctata
pn	Dianthus caryophyllus
pn	Diaphanosoma
pn	Diceros bicornis
pn	Didelphis virginiana
pn	Didelphis virginiana (North American opossum)
pn	Dikerogammarus haemobaphes
pn	Dinophysis norvegica
pn	Diporeia sp.
pn	Dodonaea viscosa
pa	dog
pa	dog (Canis familiaris)
pa	dog; breed: German Shepherd
pa	dog; breed: Labrador
pa	dog; german Shepherd
pn	domestic cat
pn	domestic goose
pa	donkey
pn	double-crested cormorant (Phalacrocorax auritus)
pn	duck
pn	Dunaliella sp.
pn	Durio zibethinus
pn	Durvillaea antarctica
pn	Duttaphrynus melanostictus (Doubtful toad)
pa	Eastern chipmunk
pn	Ectocarpus sp.
pn	Elachista antarctica
pa	Elaphe guttata
pn	Eleodes obscura
pn	Eleodes opaca
pn	Eleodes tricostata
pn	Eliomys quercinus
pn	Elseya latisternum
pn	Enallagma civile
pn	Entacmaea quadricolor
pn	Entacmaea quadricolor (green)
pn	Entacmaea quadricolor (red)
pa	Eonycteris spelaea
pn	Eothenomys miletus
pa	Eptesicus fuscus
pn	Eptesicus fuscus
pn	equine
pn	Equus caballus
pa	Equus przewalskii (Prezewalskis wild horse)
pn	Erica sp.
pa	Erinaceus europaeus L. (European hedgehog)
pn	Eucalyptus sp.
pn	Euchirella rostrata
pn	Eulimnogammarus vittatus
pn	euphausid
pn	Eustoma grandiflorum
pn	Euterpina acutifrons
pn	Eutropis macularia
pn	Falco peregrinus
pn	Farranula cf. rostrata
pn	Favella ehrenbergii
pn	Favia fragum
pn	Favia sp.
pn	Favites complanata; scleractinian coral
pn	Felis catus
pn	Filoreta japonica
pn	Filoreta turcica
pa	fish
pn	fish
pa	foal
pa	fox
pn	Fragaria x ananassa
pn	Fragum unedo
pn	free-roaming cat
pn	Fulica atra (common coot)
pn	Fundulus grandis
pn	Fundulus grandis (Gulf killifish)
pn	Fungia paumotensis
pn	Fungia scutaria
pn	Furcifer sp.
pn	Gadus morhua
pn	Galaxea fascicularis
pn	Gallinula chloropus (common moorhen)
pn	Gallotia galloti
pn	Gallus gallus
pn	Gallus gallus domesticus
pn	Gammarus mucronatus
pn	Gasterosteus aculeatus
pn	Gekko gecko
pn	Gelidium elegans
pn	Geochelone carbonaria (red-footed tortoise)
pa	giant panda
pn	Glenodinium sp.
pn	Globigerinella siphonifera
pn	Globigerinoides conglobatus
pn	Globigerinoides ruber
pn	Globigerinoides ruber White
pn	Globigerinoides sacculifer
pa	goat
pn	Gobio gobio
pn	Gobius fluviatilis
pn	Gobius kessleri
pn	Gobius melanostomus
pn	Gonatodes albogularis fuscus
pn	Goniastrea aspera
pa	goose
pa	Gouldian finch
pn	grass carp
pn	Gromphadorhina portentosa
pn	groper
pn	Gryllus bimaculatus
pn	Gryllus pennsylvanicus
pn	Gymnocephalus cernuus
pn	Gymnodinium instriatum
pn	Gypsophila sp.
pn	Haliotis kamtschatkana and Haliotis rufescens
pn	Haliotis tuberculata
pn	Halocynthia roretzi
pp	Halodule wrightii
pn	Halophila
pn	Hemidactylus agrius
pn	Heterostegina depressa
pn	Heteroxenia fuscescens
pn	Hibiscus sp.
pn	Himatione sanguinea
pn	Hippeastrum sp.
pn	Hippocampus hippocampus
pn	Hippopus hippopus (giant clam)
pa	Hipposideros pomona
pn	Homarus americanus
pa	Homo sapiens
pn	Homo sapiens
pa	horse
pn	horse
pa	house mouse
pn	Howea sp.
pn	Humulus lupulus
pn	Hydropotes inermis argyropus (Korean water deer)
pn	Hydropunctaria rheitrophila (specimen-voucher W0972)
pn	Hydropunctaria rheitrophila (specimen-voucher W1048)
pn	hyperiid amphipod
pn	Hypophthalmichthys molitrix
pa	Ictidomys tridecemlineatus (13-lined ground squirrel)
pn	Impatiens
pn	intermediate host: Rangifer tarandus tarandus
pn	Iranian native goat
pn	Isodiametra pulchra
pn	isolated from Blaberus sp. var. Nijmegen
pn	isolated from Periplaneta americana var. Bayer
pn	isolated from Periplaneta americana var. Nijmegen
pn	Ithycyphus oursi
pn	Ixodes persulcatus
pn	jellyfish
pp	Juncus sp.
pp	Juncus triglumis
pn	Kalanchoe sp.
pa	kangaroo
pn	Karlodinium micrum
pn	Keratella
pn	Kinixys zombensis
pa	koala
pn	Labeo rohita
pn	Lagenaria siceraria
pn	Lagothrix cana cana
pn	Lama glama
pn	Lama guanicoe
pn	Lama guanicoe (guanaco)
pn	Lama guanicoe (young)
pa	lamb
pn	Lapemis hardwickii (sea snake)
pn	Larus argentatus
pn	Larus marinus
pa	Lates calcarifer (Asian seabass)
pn	Lavandula angustifolia
pn	Lavandula sp.
pa	Leopard gecko
pn	Lepisma saccharina
pn	Leptastrea transversa
pa	Leptonychotes weddellii (Weddell seal)
pn	Leucadendron argenteum
pn	Leucadendron sp.
pn	Leuciscus cephalus
pn	Lilium sp.
pn	Limnofila anglica
pn	Limnofila longa
pn	Limnofila oxoniensis
pn	Limonium sinense
pn	Limulus sp.
pn	Liocarcinus depurator
pn	Lithobates clamitans
pn	Lithophyllum racemus
pn	Litophyton arboreum
pn	lizard
pn	Loligo vulgaris
pa	Lonchura striata domestica
pa	Lophochroa leadbeateri
pn	Lottia digitalis
pn	Lottia pelta
pn	Lubomirskia incrustans
pn	Lumbricus terrestris
pn	Lutra lutra
pn	Lycopersicon esculentum
pn	Mabuya sp.
pn	Macaca fascicularis
pn	Macropus eugenii
pa	Macropus fuliginosus
pa	Macropus giganteus
pn	Macrostomum lignano
pn	Madagascarophis colubrinus
pa	Malacochersus tornieri
pa	male canine Labrador
pn	mangrove
pn	Marginopora kudakajimensis
pn	Marinogammarus obtusatus
pn	Maristentor dinoferus
pa	Marmota flaviventris (yellow-bellied marmot)
pn	Martes pennanti (fisher)
pn	Mastigias sp.
pn	Melanoplus differentialis
pn	Meleagris gallopavo
pn	Meles meles (European badger)
pn	Mercenaria mercenaria
pa	mink
pa	Mirounga leonina (southern elephant seal)
pn	Misgurnus anguillicaudatus
pn	Molgula citrina
pn	Molgula manhattensis
pn	Molgula occidentalis
pn	Molgula retortiformis
pn	Molothrus ater
pn	Montastraea annularis
pn	Montastraea faveolata
pn	Montastraea franksi
pn	Montastrea annularis
pn	Montastrea curta
pn	Montipora cactus
pn	Montipora digitata
pn	Montipora digitata (red)
pn	Montipora verrucosa
pn	Montipora verrucosa (coral)
pa	mouse
pn	Mugil gyrans
pa	Mus musculus
pn	Mus musculus
pa	muskrat
pn	Mya arenaria
pn	Mycetophyllia ferox
pa	Myodes rufocanus bedfordiae
pn	Myrtus communis
pn	Mytilus galloprovincialis
pa	Mytilus sp. (blue mussel)
pn	Nassellaria
pa	naturally infected dog
pn	Nauphoeta cinerea
pn	nematode
pn	Neorotalia calcar
pn	Neorotalia sp.
pn	Nepa cinerea
pn	Nephthea sp.
pa	New Guinea Boa snake
pn	Nicotiana tabacum
pn	Nummulites venosus
pn	Nyctereutes procyonoides (racoon dog)
pn	Nyctiphanes simplex
pa	Nymphicus hollandicus
pa	Nymphicus hollandicus (cockatiel)
pn	Ochlerotatus japonics
pn	Ochlerotatus japonicus (synonym: Aedes japonicus)
pn	Ochlerotatus triseriatus (synonym: Aedes triseriatus)
pn	Octopus vulgaris
pn	Odocoileus hemionus
pa	Odocoileus virginianus
pn	Oikopleura sp.
pn	Oithona similis
pn	Oncaea cf. media
pn	Oncaea sp.
pn	Oncorhynchus mykiss
pn	Operculina ammonoides
pn	Operculina complanata
pn	Operculina elegans
pn	Operculina sp.
pn	Operculinella cumingii
pn	Oplegnathus fasciatus (spotted knifejaw)
pa	opossum
pn	opossum
pn	opossum 8157
pn	Orbulina universa
pn	Oreamnos americanus (Rocky Mountain goat)
pn	Oreochromis niloticus
pn	Oryctolagus cuniculus
pn	Ostrea angasi
pn	Ostrea aupouria
pn	Ostrea chilensis
pn	Ostrea conchaphila
pn	Ostrea edulis
pn	Ostrea equestris
pn	Ostrea puelchana
pn	Ostrea sandvicensis
pn	Ostrea stentina
pn	Ostreola equestris
pa	ostrich (Struthio camelus)
pa	Otospermophilus beecheyi (California ground squirrel)
pn	Oulastrea crispata
pa	Ovis aries
pn	Ovis aries
pn	Ovis canadensis
pn	Oxidus gracilis
pn	Pachyclavularia sp.
pn	Pacific herring; Clupea pallasii
pa	Padda oryzivora
pa	Pagophilus groenlandicus
pa	Paguma larvata
pn	Palaemonetes paludosus
pn	Palaemonetes pugio
pn	Palmaria palmata
pn	Pan troglodytes verus
pn	Pandalus platyceros (spot prawn)
pn	Pandorea jasminoides
pn	Panesthia cribrata
pn	Paracalanus parvus
pn	Paraechaeta hebes
pn	Paralemnalia eburnea
pn	Paralichthys olivaceus
pn	Paralichthys olivaceus (olive flounder)
pn	Paralithodes camtschaticus (red king crab)
pn	Paranemertes peregrina
pa	parrot
pn	Patinopecten yessoensis
pa	Pavo cristatus (Indian peafowl)
pn	Pavona cactus
pn	Pelophylax esculentus
pn	Penaeus vannamei
pa	Perameles bougainville (western barred bandicoot)
pn	Perca fluviatilis
pn	Peridiniopsis sp.
pn	Periplaneta americana
pn	Periplaneta americana var. Dar es Salaam
pa	Peromyscus maniculatus
pa	Peromyscus maniculatus (deer mouse)
pn	Persea americana
pa	pet dog
pa	Petrogale penicillata
pn	Petrogale penicillata
pn	Phataginus tricuspis
pn	Phelsuma madagascariensis grandis
pa	Phoca hispida
pa	Phoca vitulina
pn	Phoca vitulina richardsii
pn	Phormium tenax
pn	Phyllochaetopterus prolifica
pn	Phyllodesmium briareum
pn	Phyllotreta striolata
pn	Pica pica (L. 1758) (European magpie)
pn	Pica pica L. 1758 (Eurasian magpie)
pa	pig
pn	pig
pa	pig genotype II
pn	Pinus mugo
pn	Pinus radiata
pa	Pipistrellus pipistrellus
pa	pit bull terrier
pn	Pittosporum sp.
pn	Planoperculina heterosteginoides
pn	Planostegina operculinoides
pn	Pleuronichthys cornutus (righteye flounder)
pn	Plexaura flexuosa (adult)
pn	Plexaura kuna (adult)
pn	Plexaura kuna (polyp)
pa	plum-headed finch
pp	Poa alpina
pp	Poa sp.
pn	Pocillopora damicornis
pn	Pocillopora sp.
pn	Pocillopora verrucosa
pa	Pogona vitticep
pn	Pogona vitticeps
pn	Polyarthra
pn	Polygala myrtifolia
pn	Populus euphratica
pn	Porites astreoides
pn	Porites cylindrica
pn	Porphyra spiralis var. spiralis
