name	gb number	isolate	isolation_source	lat_lon	country	lab_host	collected_by	culture_collection	host	note	Authors	Title	journal	pubmed_id
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_sacculifer	JQ004111	GA2078		0.00 N 162.50 E							 Andre,A., Weiner,A., Quillevere,F., Aurahs,R., Morard,R., Douady,C.J., de Garidel-Thoron,T., Escarguel,G., de Vargas,C. and Kucera,M.	 The cryptic and the apparent reversed	 Paleobiology 39 (1), 21-39 (2012)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_sacculifer	JQ004108	GA1869		0.00 N 162.50 E							 Andre,A., Weiner,A., Quillevere,F., Aurahs,R., Morard,R., Douady,C.J., de Garidel-Thoron,T., Escarguel,G., de Vargas,C. and Kucera,M.	 The cryptic and the apparent reversed	 Paleobiology 39 (1), 21-39 (2012)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633150		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633149		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633148		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633147		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633146		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633145		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633144		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633143		South Pacific, 30-60m, Cruise GYRAFOR-A	0.00 N 162.50 E			Thibault de Garidel Thoron				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633154		South Pacific, 90-120m, Cruise GYRAFOR-A	0.00 N 162.50 E			Yurika Ujiie				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633153		South Pacific, 90-120m, Cruise GYRAFOR-A	0.00 N 162.50 E			Yurika Ujiie				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633152		South Pacific, 90-120m, Cruise GYRAFOR-A	0.00 N 162.50 E			Yurika Ujiie				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
