JD	host
vertebrate	Lamprotornis superbus (Superb Glossy Starling)
vertebrate	elk
vertebrate	naturally infected goat
animal	animal
animal	Hyalomma excavatum
vertebrate	Tiliqua rugosa rugosa
vertebrate	Rattus norvegicus; AB205
vertebrate	Equus caballus A200 (age 8, mare)
vertebrate	Equus caballus T10 (age 7, gelding)
vertebrate	Equus caballus T42 (age 8, gelding)
vertebrate	Equus caballus T8 (age 6, mare)
vertebrate	Equus caballus T95 (age 6, gelding)
vertebrate	Equus caballus U225 (age 10, mare)
animal	Hyalomma anatolicum from Equus caballus
